"","Nyears","startPop","noise","nbreaksin","nbreaksout","startK","startR","changeK","changeR","victory"
"2119",25,3000,90,3,2,2000,2,40,20,3
"2120",25,3000,90,3,2,2000,2,40,20,3
"2121",25,3000,90,0,3,2000,2,40,20,0
"2122",25,3000,90,0,2,2000,2,40,20,0
"2123",25,3000,90,0,3,2000,2,40,20,0
"2124",25,3000,90,0,1,2000,2,40,20,0
"2125",25,3000,90,0,0,2000,2,40,20,1
"2126",25,3000,90,1,2,2000,2,40,20,2
"2127",25,3000,90,1,0,2000,2,40,20,0
"2128",25,3000,90,1,3,2000,2,40,20,0
"2129",25,3000,90,1,3,2000,2,40,20,0
"2130",25,3000,90,1,3,2000,2,40,20,0
"2131",25,3000,90,2,3,2000,2,40,20,2
"2132",25,3000,90,2,2,2000,2,40,20,0
"2133",25,3000,90,2,2,2000,2,40,20,0
"2134",25,3000,90,2,2,2000,2,40,20,0
"2135",25,3000,90,2,2,2000,2,40,20,0
"2136",25,3000,90,3,2,2000,2,40,20,3
"2137",25,3000,90,3,2,2000,2,40,20,1
"2138",25,3000,90,3,2,2000,2,40,20,0
"2139",25,3000,90,3,3,2000,2,40,20,4
"2140",25,3000,90,3,2,2000,2,40,20,0
"2141",25,3000,90,0,2,2000,2,40,20,0
"2142",25,3000,90,0,0,2000,2,40,20,1
"2143",25,3000,90,0,2,2000,2,40,20,0
"2144",25,3000,90,0,2,2000,2,40,20,0
"2145",25,3000,90,0,0,2000,2,40,20,1
"2146",25,3000,90,1,2,2000,2,40,20,2
"2147",25,3000,90,1,3,2000,2,40,20,0
"2148",25,3000,90,1,1,2000,2,40,20,1
"2149",25,3000,90,1,1,2000,2,40,20,0
"2150",25,3000,90,1,1,2000,2,40,20,0
"2151",25,3000,90,2,2,2000,2,40,20,0
"2152",25,3000,90,2,3,2000,2,40,20,0
"2153",25,3000,90,2,3,2000,2,40,20,2
"2154",25,3000,90,2,2,2000,2,40,20,0
"2155",25,3000,90,2,4,2000,2,40,20,2
"2156",25,3000,90,3,2,2000,2,40,20,3
"2157",25,3000,90,3,3,2000,2,40,20,0
"2158",25,3000,90,3,4,2000,2,40,20,2
"2159",25,3000,90,3,3,2000,2,40,20,4
"2160",25,3000,90,3,1,2000,2,40,20,0
"2161",25,3000,90,0,0,2000,2,40,20,1
"2162",25,3000,90,0,1,2000,2,40,20,0
"2163",25,3000,90,0,0,2000,2,40,20,1
"2164",25,3000,90,0,3,2000,2,40,20,0
"2165",25,3000,90,0,1,2000,2,40,20,0
"2166",25,3000,90,1,3,2000,2,40,20,0
"2167",25,3000,90,1,1,2000,2,40,20,0
"2168",25,3000,90,1,2,2000,2,40,20,0
"2169",25,3000,90,1,0,2000,2,40,20,0
"2170",25,3000,90,1,2,2000,2,40,20,0
"2171",25,3000,90,2,1,2000,2,40,20,0
"2172",25,3000,90,2,3,2000,2,40,20,2
"2173",25,3000,90,2,1,2000,2,40,20,0
"2174",25,3000,90,2,2,2000,2,40,20,4
"2175",25,3000,90,2,2,2000,2,40,20,4
"2176",25,3000,90,3,3,2000,2,40,20,0
"2177",25,3000,90,3,3,2000,2,40,20,0
"2178",25,3000,90,3,2,2000,2,40,20,3
"2179",25,3000,90,3,3,2000,2,40,20,4
"2180",25,3000,90,3,2,2000,2,40,20,3
"2181",25,3000,90,0,1,2000,2,40,20,0
"2182",25,3000,90,0,0,2000,2,40,20,1
"2183",25,3000,90,0,0,2000,2,40,20,1
"2184",25,3000,90,0,1,2000,2,40,20,0
"2185",25,3000,90,0,0,2000,2,40,20,1
"2186",25,3000,90,1,2,2000,2,40,20,0
"2187",25,3000,90,1,2,2000,2,40,20,0
"2188",25,3000,90,1,3,2000,2,40,20,2
"2189",25,3000,90,1,2,2000,2,40,20,2
"2190",25,3000,90,1,2,2000,2,40,20,0
"2191",25,3000,90,2,2,2000,2,40,20,0
"2192",25,3000,90,2,2,2000,2,40,20,0
"2193",25,3000,90,2,2,2000,2,40,20,4
"2194",25,3000,90,2,1,2000,2,40,20,0
"2195",25,3000,90,2,3,2000,2,40,20,0
"2196",25,3000,90,3,2,2000,2,40,20,3
"2197",25,3000,90,3,2,2000,2,40,20,0
"2198",25,3000,90,3,2,2000,2,40,20,0
"2199",25,3000,90,3,3,2000,2,40,20,0
"2200",25,3000,90,3,2,2000,2,40,20,1
"2201",25,3000,5,0,2,2000,2,0,20,0
"2202",25,3000,5,0,0,2000,2,0,20,1
"2203",25,3000,5,0,1,2000,2,0,20,0
"2204",25,3000,5,0,0,2000,2,0,20,1
"2205",25,3000,5,0,2,2000,2,0,20,0
"2206",25,3000,5,1,3,2000,2,0,20,2
"2207",25,3000,5,1,4,2000,2,0,20,0
"2208",25,3000,5,1,1,2000,2,0,20,1
"2209",25,3000,5,1,1,2000,2,0,20,1
"2210",25,3000,5,1,2,2000,2,0,20,2
"2211",25,3000,5,2,1,2000,2,0,20,0
"2212",25,3000,5,2,1,2000,2,0,20,1
"2213",25,3000,5,2,2,2000,2,0,20,0
"2214",25,3000,5,2,1,2000,2,0,20,0
"2215",25,3000,5,2,1,2000,2,0,20,1
"2216",25,3000,5,3,3,2000,2,0,20,4
"2217",25,3000,5,3,1,2000,2,0,20,1
"2218",25,3000,5,3,2,2000,2,0,20,3
"2219",25,3000,5,3,3,2000,2,0,20,1
"2220",25,3000,5,3,3,2000,2,0,20,1
"2221",25,3000,5,0,4,2000,2,0,20,0
"2222",25,3000,5,0,2,2000,2,0,20,0
"2223",25,3000,5,0,1,2000,2,0,20,0
"2224",25,3000,5,0,2,2000,2,0,20,0
"2225",25,3000,5,0,2,2000,2,0,20,0
"2226",25,3000,5,1,1,2000,2,0,20,1
"2227",25,3000,5,1,1,2000,2,0,20,1
"2228",25,3000,5,1,2,2000,2,0,20,2
"2229",25,3000,5,1,3,2000,2,0,20,2
"2230",25,3000,5,1,1,2000,2,0,20,1
"2231",25,3000,5,2,1,2000,2,0,20,0
"2232",25,3000,5,2,3,2000,2,0,20,2
"2233",25,3000,5,2,1,2000,2,0,20,1
"2234",25,3000,5,2,3,2000,2,0,20,2
"2235",25,3000,5,2,3,2000,2,0,20,2
"2236",25,3000,5,3,3,2000,2,0,20,4
"2237",25,3000,5,3,1,2000,2,0,20,1
"2238",25,3000,5,3,2,2000,2,0,20,3
"2239",25,3000,5,3,4,2000,2,0,20,2
"2240",25,3000,5,3,3,2000,2,0,20,4
"2241",25,3000,5,0,1,2000,2,0,20,0
"2242",25,3000,5,0,0,2000,2,0,20,1
"2243",25,3000,5,0,3,2000,2,0,20,0
